Nineveh Factory For Clothes,International Fashion Factory,Al Muntar Industrial Trading Est,Kenana trail for packaging,AL - BASHAYER FASHION INDUSTRIES FACTORY,Al - Rawi Company for the manufacture of wires and cables Jordan
0,0,1,1,0,0
0,0,1,1,0,0
0,1,1,1,0,1
0,0,1,1,1,1
0,0,1,1,1,1
0,1,1,1,0,1
0,0,1,1,0,0
0,0,1,0,0,0
0,0,1,1,0,1
0,1,1,1,1,0
0,0,1,0,1,0
0,0,1,1,1,1
0,0,1,1,0,0
0,0,1,1,0,0
0,0,1,1,0,1
0,1,1,1,1,1
0,1,1,1,1,1
0,0,1,1,0,1
0,0,1,1,1,1
0,0,1,1,1,1
0,0,1,1,1,0
1,0,1,1,1,1
0,0,1,1,0,1
0,0,1,0,0,0
0,0,1,1,1,1
1,0,1,1,1,1
0,0,1,1,0,1
1,1,1,1,1,1
0,1,1,1,0,1
0,0,1,1,0,1
